Nombre,Altura,Peso
Dubreuillosaurus,,250 kilos
Edmontonia,3 metros,3200 kilos
Edmontosaurus,3 metros,3500 kilos
Einiosaurus,4.5 metros,1300 kilos
Elaphrosaurus,1.5 metros,300 kilos
Emausaurus,3.7 metros,14000 kilos
Eolambia,2 metros,1000 kilos
Eoraptor,0.3 metros,10 kilos
Eotyrannus,4 metros,227 kilos
Equijubus,,2500 kilos
Erketu,,4990 kilos
Erlikosaurus,2.7 metros,160 kilos
Estegosaurio,2.7 metros,1800 kilos
Euhelopus,5 metros,3500 kilos
Euoplocephalus,2 metros,2000 kilos
Europasaurus,,500 kilos
Eustreptospondylus,2.5 metros,900 kilos
Fukuiraptor,0.07 metros,590 kilos
Fukuisaurus,2 metros,400 kilos
Gallimimus,2 metros,200 kilos
Gargoyleosaurus,1 metros,1000 kilos
Garudimimus,0.35 metros,30 kilos
Gasosaurus,1.5 metros,150 kilos
Gasparinisaura,0.3 metros,34 kilos
Gastonia,1.1 metros,1900 kilos
Giganotosaurus,6 metros,8000 kilos
Gilmoreosaurus,3.2 metros,300 kilos
Giraffatitan,12 metros,40000 kilos
Gobisaurus,2.4 metros,3500 kilos
Gorgosaurus,2.7 metros,2500 kilos
Goyocephale,0.5 metros,40 kilos
Graciliceratops,0.4 metros,9 kilos
Gryposaurus,2.7 metros,4536 kilos
Guaibasaurus,0.9 metros,6 kilos
Guanlong,1 metros,125 kilos
Hadrosaurus,3 metros,8000 kilos
Hagryphus,2 metros,50 kilos
Haplocanthosaurus,14 metros,11611 kilos
Harpymimus,1.8 metros,50 kilos
Herrerasaurus,3 metros,350 kilos
Hesperosaurus,,3500 kilos
Heterodontosaurus,0.5 metros,6 kilos
Heyuannia,,20 kilos
Homalocephale,0.6 metros,85 kilos
Huayangosaurus,1.3 metros,3000 kilos
Hylaeosaurus,0.085 metros,1000 kilos
Hypacrosaurus,4 metros,1300 kilos
Hypsilophodon,0.6 metros,68 kilos
Iguanodon,2.7 metros,5000 kilos
Indosuchus,4.9 metros,1200 kilos
Irritator,3 metros,1000 kilos
Isisaurus,5 metros,
Janenschia,6 metros,30000 kilos
Jaxartosaurus,4.9 metros,3629 kilos
Jingshanosaurus,2.5 metros,2500 kilos
Jinzhousaurus,2.5 metros,1000 kilos
Jobaria,4.5 metros,22000 kilos
Juravenator,,1 kilos
Kentrosaurus,3.51 metros,3000 kilos
Khaan,,14 kilos
Kotasaurus,3 metros,2500 kilos
Kritosaurus,7 metros,2300 kilos
Lambeosaurus,2.1 metros,3000 kilos
Lapparentosaurus,6 metros,22680 kilos
Leaellynasaura,0.4 metros,10 kilos
Leptoceratops,0.75 metros,200 kilos
Lesothosaurus,1 metros,10 kilos
Liaoceratops,0.007 metros,7 kilos
Ligabuesaurus,,
Liliensternus,2 metros,200 kilos
Lophorhothon,,590 kilos
Lophostropheus,,100 kilos
Lufengosaurus,3 metros,1500 kilos
Lurdusaurus,2 metros,5500 kilos
Lycorhinus,0.5 metros,18 kilos
Magyarosaurus,2 metros,1100 kilos
Maiasaura,2.5 metros,10000 kilos
Majungasaurus,2 metros,1100 kilos
Malawisaurus,4.3 metros,9000 kilos
Mamenchisaurus,10.7 metros,27216 kilos
Mapusaurus,4.5 metros,3000 kilos
Marshosaurus,,200 kilos
Masiakasaurus,1.25 metros,128 kilos
Massospondylus,2.4 metros,1000 kilos
Maxakalisaurus,,
Megalosaurus,3 metros,9000 kilos
Melanorosaurus,2 metros,1300 kilos
Metriacanthosaurus,1.8 metros,910 kilos
Microceratus,0.25 metros,10 kilos
Micropachycephalosaurus,0.17 metros,5 kilos
Microraptor,0.3 metros,1 kilos
Minmi,1 metros,1600 kilos
Monolophosaurus,1.8 metros,480 kilos
Mononykus,0.4 metros,4 kilos
Mussaurus,3 metros,1000 kilos
Muttaburrasaurus,2.5 metros,2800 kilos
Nanshiungosaurus,0.6 metros,600 kilos
Nedoceratops,,12000 kilos
Nemegtosaurus,4 metros,18144 kilos
Neovenator,2.5 metros,2000 kilos
Neuquenosaurus,,12700 kilos
Nigersaurus,2.4 metros,4536 kilos
Nipponosaurus,,1814 kilos
Noasaurus,0.6 metros,15 kilos
Nodosaurus,3 metros,3500 kilos
Nomingia,,20 kilos
Nothronychus,3.6 metros,1000 kilos
Nqwebasaurus,0.31 metros,1 kilos
Omeisaurus,4 metros,9800 kilos
Opisthocoelicaudia,5 metros,14000 kilos
Ornitholestes,0.91 metros,11 kilos
Ornithomimus,2 metros,200 kilos
Orodromeus,0.5 metros,50 kilos
Oryctodromeus,0.6 metros,32 kilos
Othnielia,0.6 metros,10 kilos
Ouranosaurus,3 metros,4000 kilos
Oviraptor,0.91 metros,36 kilos
Pachycephalosaurus,3 metros,2000 kilos
Pachyrhinosaurus,3 metros,4000 kilos
Panoplosaurus,1.2 metros,3175 kilos
Pantydraco,3 metros,50 kilos
Paralititan,9 metros,47000 kilos
Parasaurolophus,4.9 metros,3600 kilos
Parksosaurus,1 metros,45 kilos
Patagosaurus,4.6 metros,7257 kilos
Pelicanimimus,1 metros,25 kilos
Pelorosaurus,12 metros,14000 kilos
Pentaceratops,4 metros,2700 kilos
Piatnitzkysaurus,2.5 metros,300 kilos
Pinacosaurus,2 metros,1400 kilos
Plateosaurus,3 metros,700 kilos
Podokesaurus,0.3 metros,4 kilos
Poekilopleuron,3 metros,1300 kilos
Polacanthus,1.7 metros,900 kilos
Prenocephale,,
Probactrosaurus,2.5 metros,135 kilos
Proceratosaurus,1.8 metros,300 kilos
Procompsognathus,0.25 metros,1 kilos
Prosaurolophus,4 metros,1800 kilos
Protarchaeopteryx,0.7 metros,4 kilos
Protoceratops,0.6 metros,180 kilos
Protohadros,,
Psittacosaurus,0.6 metros,68 kilos
Quaesitosaurus,7.6 metros,6350 kilos
Rebbachisaurus,,7000 kilos
Rhabdodon,3.7 metros,3000 kilos
Rhoetosaurus,5 metros,10800 kilos
Rinchenia,1.3 metros,136 kilos
Riojasaurus,3 metros,700 kilos
Rugops,2.5 metros,410 kilos
Saichania,2 metros,1800 kilos
Saltasaurus,4 metros,7250 kilos
Saltopus,0.3 metros,9 kilos
Sarcosaurus,1 metros,4300 kilos
Saurolophus,4 metros,2700 kilos
Sauropelta,1.8 metros,2900 kilos
Saurophaganax,5 metros,5400 kilos
Saurornithoides,0.7 metros,30 kilos
Scelidosaurus,1.2 metros,250 kilos
Scutellosaurus,0.3 metros,10 kilos
Secernosaurus,1.5 metros,1814 kilos
Segisaurus,0.3 metros,5 kilos
Segnosaurus,3 metros,10000 kilos
Shamosaurus,,2000 kilos
Shanag,,5 kilos
Shantungosaurus,6 metros,7300 kilos
Shunosaurus,5 metros,7200 kilos
Shuvuuia,0.5 metros,5 kilos
Silvisaurus,1.5 metros,3000 kilos
Sinocalliopteryx,,20 kilos
Sinornithosaurus,0.5 metros,9 kilos
Sinosauropteryx,0.3 metros,3 kilos
Sinovenator,0.9 metros,23 kilos
Sinraptor,3 metros,1000 kilos
Sonidosaurus,3 metros,1400 kilos
Spinosaurus,5 metros,6000 kilos
Staurikosaurus,0.8 metros,28 kilos
Stegoceras,1.3 metros,68 kilos
Stenopelix,0.76 metros,10 kilos
Struthiomimus,3 metros,150 kilos
Struthiosaurus,1.7 metros,400 kilos
Styracosaurus,2 metros,3000 kilos
Suchomimus,5 metros,6000 kilos
Supersaurus,,50000 kilos
Talarurus,2 metros,1360 kilos
Tanius,3 metros,2177 kilos
Tarbosaurus,4 metros,11000 kilos
Tarchia,3 metros,4500 kilos
Telmatosaurus,2 metros,450 kilos
Tenontosaurus,3 metros,900 kilos
Thecodontosaurus,0.3 metros,11 kilos
Therizinosaurus,4 metros,450 kilos
Thescelosaurus,1.3 metros,300 kilos
Tiranosaurio Rex,,7000 kilos
Torosaurus,2.7 metros,12000 kilos
Torvosaurus,4.5 metros,2700 kilos
Triceratops,2.7 metros,12000 kilos
Troodon,0.7 metros,50 kilos
Tsagantegia,2.5 metros,2722 kilos
Tsintaosaurus,4 metros,2700 kilos
Tuojiangosaurus,2 metros,2800 kilos
Tylocephale,1.1 metros,32 kilos
Udanoceratops,0.9 metros,200 kilos
Unenlagia,1.6 metros,23 kilos
Urbacodon,0.5 metros,10 kilos
Utahraptor,2.7 metros,900 kilos
Valdosaurus,1 metros,10 kilos
Velociraptor,0.7 metros,25 kilos
Vulcanodon,2 metros,3500 kilos
Yandusaurus,0.3 metros,7 kilos
Yangchuanosaurus,4.5 metros,3150 kilos
Yimenosaurus,3 metros,1000 kilos
Yingshanosaurus,5.5 metros,1000 kilos
Yinlong,0.4 metros,15 kilos
Yuanmousaurus,,18143 kilos
Yunnanosaurus,2 metros,
Zalmoxes,0.7 metros,80 kilos
Zephyrosaurus,1 metros,20 kilos
