Nombre,Altura,Peso
Juratyrant,"1,9 metros",280 kg
Juravenator,20 cm,2-5 kg
Kaatecodus,3 metros,5 toneladas
Kaijiangosaurus,"1,7 metros",290 kg
Kakuru,70 cm,59 kg
Kamuysaurus,3 metros,"4-5,3 toneladas"
Kangnasaurus,75 cm,58 kg
Karongasaurus,9 metros,1 tonelada
Katepensaurus,Nan,Nan
,Nan,Nan
Kazaklambia,Nan,Nan
Kelmayisaurus,"2,7 metros",1 tonelada
Kentrosaurus,"1,7 metros",740 kg
Khaan,50 centímetros,Nan
Kholumolumo,Nan,"1,7-4 toneladas"
Kileskus,2 metros,890 kg
,Nan,Nan
,Nan,Nan
,Nan,Nan
Koreanosaurus,Nan,Nan
Kosmoceratops,2 metros,2 toneladas
Kotasaurus,"2,7 metros",6 toneladas
Kritosaurus,3 metros,"3,6 toneladas"
Kryptops,"2,3 metros",2 toneladas
,Nan,Nan
Kunbarrasaurus,Nan,Nan
Kunmingosaurus,3 metros,"2,8 toneladas"
Kurupi,Nan,750 kg.
Labocania,"2,1 metros",340 kg
Laevisuchus,90 cm,27 kg
Lajasvenator,Nan,Nan
Bonapartesaurus,Nan,Nan
Lambeosaurus,2 metros,5 toneladas
Lametasaurus,"2,3 metros","1,2 toneladas"
Lanasaurus,40 cm,12 kg
Laosarus,incierto,incierto
Lapampasaurus,2 metros.,1 tonelada.
Laplatasaurus,4 metros,8 toneladas
Lapparentosaurus,10 metros,10 toneladas
Laquintasaura,Nan,Nan
Latenivenatrix,"1,5 metros",Nan
Latirhinus,1'7 metros,3 toneladas
Leaellynasaura,1 metro,28 kg
Ledumahadi,4 metros,12 toneladas
Leinkupal laticauda,4 metros,10 toneladas
Leptoceratops,1 metro,65 kg
Lesothosaurus,29 cm,10 kilos
Lessemsaurus,3 metros,4 toneladas
Lexovisaurus,"2,2 metros",1 tonelada
Liaoceratops,Nan,3 kilogramos
Liaoningosaurus,Nan,Nan
Ligabueino,30 cm,10 kg
Ligabuesaurus,13 metros,13 toneladas
Liliensternus,"2,1 metros",189 kg
Limaysaurus,5 metros,7 toneladas
,Nan,Nan
Linheraptor,80 centímetros,30 kg
Linhevenator,"0,90 Metros",Nan
Lirainosaurus,Nan,Nan
Llukalkan,Nan,1 tonelada
,Nan,Nan
Lohuecotitan,"6,5 Metros",Nan
Loncosaurus,2 metros,380 kg
Losillasaurus,8 metros,30 toneladas
Lourinhanosaurus,"2,6",400 kilos
Luanchuanraptor,40 a 60 centímetros,15 kilogramos
Páginas populares,Nan,Nan
Lufengosaurus,"2,5 metros",2 toneladas
Lukousaurus,70 cm,65 kg
Lurdusaurus,3 metros,6 toneladas
Lusitanosaurus,"1,4 metros",370 kg
Lusotitan,10 metros,28 toneladas
Lusovenator,1 metro,Nan
Lythronax,"2,4 metros","2,5 toneladas"
Machairoceratops,"2,5 metros",4 toneladas
Macrogryphosaurus,"1,5 metros",200 kilogramos
Macrurosaurus,Nan,5 Toneladas
Magnirostris,Nan,Nan
Magnosaurus,"1,4 metros",200 kilogramos
Magyarosaurus,2 metros,4 toneladas
Mahakala,30 centímetros,500 a 1.000 gramos
Maiasaura,2.8 metros,"4,7 toneladas"
Majungasaurus,2 Metros - 3 metros,"1,1 toneladas"
Malawisaurus,"6,4 metros",18 toneladas
,Nan,Nan
Mamenchisaurus anyuensis,7-13 metros,18-27 toneladas
Mandschurosaurus,Nan,Nan
Manidens,30 a 40 Cm,10 Kg
Mansourasaurus,8 metros,"5,5 Toneladas"
Mantellisaurus,2 metros,750 kilogramos
Mapusaurus,"3,7 metros",3 toneladas
Maraapunisaurus,Nan,Nan
Marshosaurus,2 metros,340 kilos
Martharaptor,Nan,40 kilogramos
Masiakasaurus,50 cm,39 kg
Massospondylus,3 metros erguido,920 kilogramos
Matheronodon,Nan,Nan
Maxakalisaurus,Nan,9 toneladas
Medusaceratops,2 metros,2 toneladas
,Nan,Nan
,Nan,Nan
Megalosaurus,"2,8 metros","2,4 toneladas"
Megapnosaurus,1 metro,70 kg
Megaraptor,"2,1 metros",1 tonelada
Mei,30 cm,15 a 20 kg
Melanorosaurus,"3,5 metros",5 toneladas
Mendozasaurus,5 metros,15 toneladas
,Nan,Nan
Metriacanthosaurus,2 metros,1 tonelada
Microceratus,60 centímetros,50 kilogramos
Micropachycephalosaurus,30 cm,10 kg
Microraptor,Nan,1 kilo
,Nan,Nan
Mierasaurus,8 metros,7 Toneladas
Minmi,80 cm,60 kg
Minotaurasaurus,4 mts,12 tnls
Miragaia,"2,5 metros","1,8 toneladas"
Mirischia,1 metro,30 kg
Mnyamawamtuka,Nan,Nan
Moabosaurus,Nan,Nan
Monkonosaurus,"1,8 metros",500 kilogramos
Monolophosaurus,2 metros,700 kg
Mononykus,40 cm,13 kg
Montanoceratops,90 cm,Nan
Morelladon beltrani,"2,5 metros",2 toneladas
Moros,1 metro,Nan
Morrosaurus,Nan,Nan
Mussaurus patagonicus,2 metros,Entre 1 y 2 toneladas
Muttaburrasaurus,"2,8 metros","2,7 toneladas"
Muyelensaurus,2 metros,8 toneladas
Mycocephale,Nan,Nan
Mymoorapelta,Nan,Nan
Naashobitosaurus,4 metros,4 toneladas
Nanosaurus,40 cm,10 kg
Nanotyrannus,"2,5 metros",1 tonelada
Nanuqsaurus,2 metros,800 _1500 kg
Narindasaurus,Nan,8 toneladas
Nasutoceratops,"1,8 metros","1,7 toneladas"
Navajoceratops,"1,50 metros",Nan
Nedoceratops,2 metros,"4,5 toneladas"
Páginas populares,Nan,Nan
Nemegtosaurus,4 metros,10 toneladas
Neovenator,"2,2 metros","1,5 tonelada"
Páginas populares,Nan,Nan
Neuquenraptor,"1,2 metros",27 kg
Neuquensaurus,7 metros,8 toneladas
Nigersaurus,3 metros,800 kg
Nuevas imágenes,Nan,Nan
Ninjatitan,Nan,Nan
Niobrarasaurus,"1,8 metros",227-453 kilogramos
Nuevas imágenes,Nan,Nan
Noasaurus,1 metro,15 kg
Nodosaurus,"1,8 metros","1,5 toneladas"
Nomingia,1 metro,60 kg
Notohypsilophodon,90 cm,18 kg
Nothronychus,"4,5 a 6 metros",una tonelada
Notoceratops,40 cm,47 kg
Nototyrannus,2 metros,500 kg
Páginas populares,Nan,Nan
Nullotitan,Nan,Nan
Nurosaurus,8 metros,25 toneladas
Nuthetes,Nan,Nan
Nuukyraptor,"0,3 metros",3 kg
Nyasasaurus,50 cm,20 kg
Oceanotitan,Nan,Nan
Ohmdenosaurus,Nan,"1,3 toneladas"
Ojoceratops,"2,5 metros",Nan
Ojoraptorsaurus,"1,5 metros",Nan
Oksoko,80 centímetros,Nan
Olorotitan,4 metros,entre 2 y 3 toneladas
Omeisaurus,6 metros,8 toneladas
Opisthocoelicaudia,5 metros,8 toneladas
Orkoraptor,2 metros,1 tonelada
Páginas populares,Nan,Nan
Ornitholestes,70 cm,18 kg
Ornithomimus,"2,2 metros",175 kg
Nuevas imágenes,Nan,Nan
Orodromeus,Nan,Nan
Oryctodromeus,70 cm,22 a 32 kg
Ostafrikasaurus,"2,1 metros","1,15 Toneladas"
Ostromia,Nan,Nan
Othnielia,cercano a los 70 Cm,10 Kilos
Othnielosaurus,80 cm,65 kg
Ouranosaurus,3 m ( 4 patas ) 4 ( 2 patas horizontal) 5 m ( erguido ) varian según la longitud de este.,"3,8 toneladas"
Overoraptor,Nan,Nan
Overosaurus,2 metros,7 toneladas
Oviraptor,1 metro,49 kg
Páginas populares,Nan,Nan
Oxalaia,"2,3 metros",4 toneladas
Ozraptor,2 metros,400 kg
Nuevas imágenes,Nan,Nan
Pachycephalosaurus,"1,5 metros",500 kilogramos
Pachyrhinosaurus,"2,2 metros","4,9 toneladas"
Páginas populares,Nan,Nan
Paludititan,"2,1 metros","6,7 toneladas"
Paluxysaurus,11 metros,42 toneladas
Pamparaptor.,25 centímetros,1 kilo
Pandoravenator,2 metros,Nan
Páginas populares,Nan,Nan
Panphagia,30 cm,5 kg
Paralititan,8 metros 12 metros ( cuello erguido ) y 18 ( posado en 2 patas ),50 a 55 T
Paranthodon,"1,8 metros",400 kilogramos
Parasaurolophus,"3,2 - 3,5 metros",5 toneladas
Paraxenisaurus,3 metros,Nan
Parksosaurus,90 cm,70 kilos
Paronchodon,90 cm,Nan
Páginas populares,Nan,Nan
Patagonykus puertai,"1,5 metros",40 kg
Patagosaurus,5 metros,10 a 40 toneladas
Patagotitan,20 metros,85 Toneladas
Pectinodon,Nan,Nan
Pedopenna,40 cm,"1,3 kg"
Pegomastax africana,18 cm,6 kg
Pelecanimimus,1 metro,42 kg
Pellegrinisaurus,6 metros,19 toneladas
Peloroplites,2 metros,4 toneladas
Pelorosaurus conybearei,"11,5 metros",34 toneladas
Pendraig,Nan,3 kilos.
Pentaceratops,3 metros,"2,5 toneladas"
Phaedrolosaurus,Nan,Nan
Philovenator,Nan,Nan
,Nan,Nan
Piatnitzkysaurus,"1,8 metros",280 kg
Pilmatueia,Nan,Nan
Pinacosaurus,"1,6 metros",1 tonelada
Pisanosaurus,40 cm,20 kg
Planicoxa,2 metros,Nan
Plateosaurus,6 metros erguido,"3,2 toneladas"
Pleurocoelus,12 metros,18 toneladas.
Pneumatorptor,Nan,Nan
Podokesaurus,50 cm,12 kg
Poekilopleuron,"2,4 metros",786 kg
Polacanthus,2m,650 kg
Prenocephale prenes,Nan,130 Kilogramos
Proa,3 metros,2 toneladas
,Nan,Nan
Páginas populares,Nan,Nan
Proceratosaurus,1 metro,100 kilos
Procompsognathus,26 centímetros,1 kilogramo
Propanoplosaurus,Nan,Nan
Prosaurolophus,"2,5 metros hasta las caderas",Hasta 1 tonelada
Páginas populares,Nan,Nan
Páginas populares,Nan,Nan
Protoavis texensis,35 cm,2 kg
Protoceratops,60 cm,60 - 80 kg
Protohadros,3 metros,1 tonelada
Psittacosaurus,40 cm,39 kg
Puertasaurus,16 metros.,100 toneladas.
Punatitan,4 metros,Nan
Pycnonemosaurus,"2,4 metros","1,5 toneladas"
Pyroraptor,50 centímetros,50 kilogramos
Qantassaurus,70 cm,22 kilos
Qianzhousaurus sinensis,"2,5 metros",757 kilogramos
Qiaowanlong,7 metros,"3,5 toneladas"
Qiupanykus,Nan,Nan
Quaesitosaurus,4 metros,9 toneladas
Quilmesaurus,2 metros,620 kg
Rahonavis,15 cm,1 kg
Rajasaurus,"3,6 metros",2.000 kg
Rapator,"1,5 metros",690 kg
Rapetosaurus,"4,4 metros como maximo",Cerca de 7 toneladas
Raptorex,"1,50 metros",65 kilos
Rativates,"1,5 metros",90 kilogramos
Rayososaurus,"1,8 metros",1 toneladas
Páginas populares,Nan,Nan
Rebbachisaurus,6 a 8 metros,28 toneladas
Regaliceratops,"1,5 metros",1.5 toneladas
Regnosaurus,1.5 metros,400 kg
Gojirasaurus,2 metros,500 kg
Rhabdodon,"1,4 metros",120 kg
Rhinorex,Nan,Nan
Rhoetosaurus,5 metros,11 toneladas
Riabininohadros,2 metros,Nan
Richardoestesia,"0,60 metros",50 kilogramos
Rinchenia,1 metro,Nan
Páginas populares,Nan,Nan
Rinconsaurus,5 metros,12 toneladas
Riojasaurus,4 metros,23 toneladas
Riparovenator,Nan,2 toneladas
Rubeosaurus,2 metros,2 toneladas
Rugops,2 metros,410-750 Kg
Rukwatitan,3 metros,Nan
Saichania,"2,2 metros",2 toneladas
Páginas populares,Nan,Nan
Saltasaurus,3 metros,7 toneladas
Saltillomimus,Nan,Nan
Saltriosaurus,"2,7 metros","1,5 toneladas"
Páginas populares,Nan,Nan
Santanaraptor,80 cm,50 kg
Sarcosaurus,1 metro,71 kg
Sarmientosaurus,"2 a 2,30 metros","5 a 6,5 T"
Saturnalia,"0,5 metros",Nan
Páginas populares,Nan,Nan
Páginas populares,Nan,Nan
Saurolophus,3 metros (6 erguido),8 toneladas
Sauroniops,"2,3 metros","1,2 toneladas"
Sauropelta,2 metros,"6,7 toneladas"
Saurophaganax,"3,6 metros",3 y 5 toneladas
Páginas populares,Nan,Nan
Sauroposeidon,15 a 18 m,60 toneladas
Saurornithoides,1 metro,24 kilos
Saurornitholestes,70 cm,12 kg
Savannasaurus,7 metros,7 toneladas
Scansoriopteryx,6 centímetros,179 gramos
Scelidosaurus,"1,4 metros",390 kg
Schleitheimia,3 metros,Nan
Scipionyx,50cm,20kg
Sciurumimus,20 centímetros,6 kilogramos
Scutellosaurus,40 cm,27 kg
Secernosaurus,3 metros,800 kg
Segisaurus,40 cm,7 kg
Segnosaurus,4 metros,2 toneladas
Seismosaurus,"7,5 metros",80 toneladas
Seitaad,3 metros,"3,8 toneladas"
Sellosaurus,2 metros,"1,2 toneladas"
Shamosaurus,2 metros,"2,5 toneladas"
Shanag,30 cm,2 kilogramos
Shantungosaurus,5 metros,16 toneladas
Shaochilong,"2,5 metros",1 tonrlada
Shenzhousaurus,60 cm,20 kg
Shidaisaurus,"2,4 Metros",2 Toneladas
Shri,Nan,Nan
Shunosaurus,5 metros,3 toneladas
Páginas populares,Nan,Nan
Siamosaurus,"2,6 metros",2 toneladas
Siamotyrannus,"2,5 metros",1 tonelada
Siats,"2,50 a 3,75 metros","3,5 toneladas"
Sierraceratops,Nan,"1,5 toneladas."
Sigilmassasaurus,"2,5 metros",6 toneladas
Silutitan,Nan,20 toneladas.
Silvisaurus,1 metro,320 kg
Sinankylosaurus,1 metro,2 toneladas
Sinocalliopteryx,1 metro,15 kilogramos
Sinoceratops,"3,2 metros","2,1 toneladas"
"""Sinopliosaurus""","3,4 metros",1 tonelada
Sinornithoides,50 centímetros,20 a 50 kilogramos
Sinornithomimus,Nan,91 kilogramos
Sinornithosaurus millenii,30 cm,7 kg
Sinosauropteryx,20 cm,2 kg
Sinosaurus,2 metros,440 kg
Sinotyrannus,3 metros,650 kg
Sinovenator,40 centímetros,3 kilos
Sinraptor,"2,8 metros","3,4 toneladas"
Sinusonasus,60 Cm,10 Klg
Skorpiovenator,"2,5 metros",500 kg
Sonorasaurus,8 metros,8-10 toneladas
Spectrovenator,1 metro,Nan
Sphaerotholus,Nan,Nan
Spiclypeus,3 metros,4 toneladas
Spicomellus,Nan,Nan
Spinophorosaurus,3 metros,"3,7 toneladas"
,Nan,Nan
,Nan,Nan
Spinosaurus,3 metros(desde las caderas) - 6 metros de altura,6-8 toneladas
,Nan,Nan
Staurikosaurus,80 cm,60 kg
Stegoceras,1 metro,70 kg
Stegopelta,"1,5 metros",Nan
,Nan,Nan
Amargastegos,1 metros,500 kg
Stegosaurus,"3,7 metros",8 toneladas
Stegouros,Nan,150 kilogramos.
Stellasaurus,"1,5 metros",2 toneladas
Stenonychosaurus,"0,7 metros",21 kg
,Nan,Nan
Stokesosaurus,"1,90 metros",300 kg
Streptospondylus,5 Metros aprox,"2,5 Toneladas"
Struthtiomimus,2 metros,150 Kilos
Struthiosaurus,70 centímetros,300 kilos
Stygimoloch,Nan,Nan
Styracosaurus,"1,8 - 2,3 metros","2,7 toneladas"
Suchomimus,2-3 Metros,6 toneladas
Suchosaurus,"2,8 metros","2,3 toneladas"
,Nan,Nan
,Nan,Nan
,Nan,Nan
,Nan,Nan
Supersaurus vivane,8 metros,28 toneladas
Suskityrannus,Nan,Nan
Suzhousaurus,Nan,Nan
Syntarsus,1 metro,70 kg
Szechuanosaurus,2 metros,150 kilos
Tachiraptor,Nan,cerca de 20 Kg
Talarurus,"1,8 metros","1,5 toneladas"
Talenkauen,2 metros,200 kg
,Nan,Nan
Tanycolagreus,Nan,Nan
Taohelong,Nan,Nan
Tapuiasaurus,5 metros,"5,5 toneladas"
Tarascosaurus,1 metro,900 kilogramos a 2 toneladas.
Tarbosaurus,"3,2 Metros",4-5 toneladas
Tarchia,"1,9 metros","4,6 toneladas"
Tastavinsaurus,Nan,Nan
,Nan,Nan
Tatankaceratops,Nan,Nan
Tataouinea,Nan,Nan
Taurovenator,"2,5 metros",3 toneladas
Tazoudasaurus,"3,4 metros",4 toneladas
Tehuelchesaurus,5 metros,10 toneladas
Tendaguria,6 metros,30 toneladas
Tenontosaurus,"1,8- 2 metros","1,3 toneladas"
Teratophoneus,"1,8 metros",450 kg
Terminocavus,"1,50 metros",Nan
Tethyshadros,1 metros,3 toneladas
Thanatotheristes,Nan,Nan
,Nan,Nan
Thecocoelurus,Nan,Nan
Thecodontosaurus,"1,2 metros",50 kilgramos
Therizinosaurus,5 metros,5 Toneladas
,Nan,Nan
Thescelosaurus,Entre 90 y 150 cm,Entre 40 y 120 kg
Tianchisaurus,1 metro,200 kilogramos
Tianyulong,40 Cm a 60 Cm,1 - 5 kg
Tianzhenosaurus,"1,5 metros",1 tonelada
Timimus,1'8 metros,?
Timurlengia,Nan,Nan
Titanoceratops,4 a 3 metros,"6,5 toneladas"
,Nan,Nan
Titanosaurido antartico,6 metros,Nan
Titanosaurus,5 metros,13 toneladas
Tlatolophus,Nan,"9,5 toneladas"
,Nan,Nan
Tornieria,"4,6 metros",18 toneladas
Torosaurus,2 metros,8 toneladas
Torvosaurus,2 - 3 metros,"3,6 - 4,5 toneladas"
,Nan,Nan
Tototlmimus,"1,5 metros",Nan
,Nan,Nan
Tralkasarus,Nan,Nan
Triceratops,3 metros,6-12 toneladas
Trierarchuncus,30 centímetros,Nan
Trinisaura,Nan,Nan
Triunfosaurus,Nan,Nan
,Nan,Nan
Tsaagan,60 cm,18 kilos
Tsintaosaurus,3 metros (6 erguido),4 toneladas
Tuojiangosaurus,3 metros,"2,8 toneladas"
Turiasauria,13 Metros,48 Toneladas
Turiasaurus,10 metros,45 toneladas
,Nan,Nan
,Nan,Nan
,Nan,Nan
,Nan,Nan
Tyrannosaurus,3 metros,7-8.8 toneladas
Tyrannotitan,"3,6 metros",7 toneladas
Udanoceratops,"1,5 metros",200 kilogramos
Ugrunaaluk,4 metros,5 toneladas
Ultrasauros,15 Metros,67 Toneladas
,Nan,Nan
Ulughbegsaurus.,Nan,1 tonelada.
Unaysaurus,1 metro,80 kg
Unenlagia comahuensis,"1,5 metros",20 kg
Unquillosaurus,"1,50 metros",40 kilos
Urbacodon,50 centímetros,10 kilogramos
Utahceratops,2 metros,entre 3 y 4 toneladas
Utahraptor,1.8 – 2 Metros,500 kg
Uteodon,Nan,Nan
Valdoraptor,Nan,Nan
Valdosaurus,"1,2 metro",9-11 kilogramos
vallibonavenatrix,2.52,Nan
Variraptor,90 cm,38 kg
,Nan,Nan
Velociraptor,70 Centimetros,35 kg
,Nan,Nan
Velocisaurus,70 cm,25 kg
,Nan,Nan
Veterupristisaurus,3 metros,1 tonelada
Volgatitan,7 metros,"17,3 toneladas"
Volkheimeria,8 metros,2 toneladas
Vulcanodon,2 metros,"3,5 toneladas"
,Nan,Nan
Weewarrasaurus,Nan,Nan
Wendiceratops,2.3 metros,Más de 1 tonelada
Wiehenvenator,2 Metros,1 tonelada
Willinakaqe,3 metros.,4 toneladas.
,Nan,Nan
Wuerhosaurus,"2,2 metros",3 toneladas
Wulong,Nan,Nan
Xenoceratops foremostensis,"2,3 metros",2 toneladas
Xenoposeidon,5 metros,"7,6 Tonelada"
Xenotarsosaurus,3 metros,700 kg a 1 tonelada
Xiangornis,Nan,Nan
Xinjiangovenator,Nan,70 kilogramos
Xinjiangtitan,8 metros,58 toneladas
Xiongguanlong,"1,7 metros",120 kg
Xixianykus,20 centímetros,Nan
xixiasaurus,Nan,Nan
Xiyunykus,Nan,15 kilogramos
Xuanhanosaurus,2 metros,400 kg
Yamaceratops,30 centímetros,Nan
Yamanasaurus,3 m,Nan
Yamatosaurus,Nan,4-5 toneladas
Yangchuanosaurus,3 metros,3 toneladas
Yaverlandia,35 cm,6 kg
Yehuecauhceratops,1 metro,1-2 toneladas
Yi qi,Nan,Nan
Yimenosaurus,3 metros,3 toneladas
Yingshanosaurus jichuanensis,2 metros,"1,6 toneladas"
Yinglong,1 m,23 kg
Yixianosaurus,30 centímetros,1 kilogramo
Yongjinglong,8 metros,Nan
Yunnanosaurus,"2,2 metros","2,7 toneladas"
Yutyrannus,"2,80 metros",2 toneladas con 800 kilos
Zalmoxes,Nan,133 kg
Zanabazar,Nan,Nan
Zapalasaurus,6 metros,12 toneladas
Zby,Nan,Nan
Zephyrosaurus,50 cm,Nan
,Nan,Nan
Zhongjianosaurus,Nan,Nan
Zhuchengosaurus,"5 metros (Cuatro patas), 9 a 10 metros (Dos patas)",9 toneladas
Zhuchengtyrannus,"3,7 metros",6 toneladas
Ziapelta,Nan,Nan
Zuniceratops,1 metro (hasta las caderas),1 tonelada
Zuolong,"1,30 metros",40 kilogramos
Zupaysaurus,"1,2 metros",250 kg
Zuul,2 metros,"2,5 toneladas"
